area_type,availability,location,size,society,total_sqft,bath,balcony,park_faci,dist_mainroad,price
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Goelsn ,1700,3,3,0,151,120
Super built-up  Area,20-Dec,Whitefield,3 BHK,Oreldhi,1564,3,1,0,3,103
Super built-up  Area,18-Apr,Reliaable Tranquil Layout,2 BHK,Sariana,1256,2,1,1,63,65
Super built-up  Area,18-Jun,Kundalahalli,2 BHK,Dieldli,1047,2,1,1,158,89
Super built-up  Area,18-Apr,Bhoganhalli,3 BHK,Rosha I,1458,3,1,0,15,78.45
Super built-up  Area,19-Dec,Hoodi,2 BHK,Caycend,1063,2,1,1,73,61.17
Super built-up  Area,Ready To Move,Sadashiva Nagar,4 BHK,,7400,5,,0,89,1850
Super built-up  Area,Ready To Move,Garudachar Palya,2 BHK,,1150,2,1,0,150,52.5
Built-up  Area,Ready To Move,Chandapura,1 BHK,,450,1,1,0,76,9
Built-up  Area,Ready To Move,Ramamurthy Nagar,2 BHK,Amazaa ,1360,2,0,0,72,45
Built-up  Area,Ready To Move,Marathahalli,3 BHK,,1605,3,2,1,29,76
Carpet  Area,Ready To Move,Nagarbhavi,3 BHK,,1200,4,2,0,151,205
Super built-up  Area,18-Aug,Haralur Road,3 BHK,SNnia E,1810,3,2,0,97,100
Super built-up  Area,18-Aug,LB Shastri Nagar,2 BHK,,1250,2,2,0,70,48.5
Super built-up  Area,Ready To Move,Poorna Pragna Layout,3 BHK,,1475,2,2,0,31,58.99
Built-up  Area,Ready To Move,R.T. Nagar,2 Bedroom,,1100,3,0,1,142,125
Super built-up  Area,18-Dec,Dommasandra,2 BHK,,850,2,1,0,152,25.4
Built-up  Area,18-Jul,Electronic City Phase II,2 BHK,Sryalan,1025,2,1,1,156,26.65
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,SivelMa,980,2,1,1,9,45
Super built-up  Area,Ready To Move,Basavanagara,3 BHK,,1428,2,1,1,102,70
Super built-up  Area,Ready To Move,Shanti Nagar,2 BHK,SwionMa,1130,2,,1,90,74
Super built-up  Area,19-Jul,Kanakpura Road,3 BHK,Soazak ,1592,3,,0,89,125
Super built-up  Area,Ready To Move,JP Nagar,3 BHK,Arndesa,2050,3,3,1,34,82
Super built-up  Area,Ready To Move,Bagalur,2 BHK,Krton S,1407,2,1,0,200,83.87
Super built-up  Area,Ready To Move,Cunningham Road,3 BHK,Lelia M,4170,3,2,0,138,800
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Sulesil,1585,3,1,0,97,84
Built-up  Area,Ready To Move,Jakkur,3 BHK,Miershi,1785,3,2,1,65,130
Built-up  Area,Ready To Move,BSM Extension,2 BHK,Raave E,900,2,3,1,52,45
Plot  Area,Ready To Move,Somanna Garden,4 Bedroom,,1350,4,2,1,71,160
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,PuandHi,1843,3,2,0,2,96.2
Super built-up  Area,Ready To Move,Munivenkatppa Layout,4 BHK,SNiew L,2375,3,,1,116,260
Super built-up  Area,Ready To Move,RPC layout,2 BHK,Dee 2 P,1200,2,1,0,110,67
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,,1113,2,1,0,9,52
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Aklia R,1125,2,1,1,100,47
Plot  Area,18-Jul,Whitefield,3 Bedroom,,1200,3,1,1,56,56
Super built-up  Area,Ready To Move,Anekal,3 BHK,,1150,3,2,1,165,45
Super built-up  Area,Ready To Move,1hwanthpur,2 BHK,VSineDi,770,1,1,1,16,70
Super built-up  Area,Ready To Move,Kodichikkanahalli,2 BHK,PentyVB,1181,2,2,0,43,57
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,,1550,3,3,0,129,64.7
Super built-up  Area,Ready To Move,1st Phase JP Nagar,2 BHK,,1200,2,,0,114,86
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1295,2,2,1,138,55.47
Plot  Area,Ready To Move,Kenchenahalli,3 Bedroom,,480,3,3,0,113,65
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1506,3,1,1,7,95
Built-up  Area,Ready To Move,"HSR Layout 7th sector, ",3 BHK,,1872,3,2,1,68,152
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Adeatlm,2900,4,2,1,123,240
Super built-up  Area,18-Jun,Abbigere,3 BHK,DSestma,1326,2,1,1,15,35
Super built-up  Area,Ready To Move,Talaghattapura,2 BHK,,1040,2,1,0,200,33.28
Plot  Area,Ready To Move,Bettadasanapura,5 Bedroom,,1200,5,1,1,63,90
Super built-up  Area,Ready To Move,Hennur,2 BHK,SLureSi,1020,2,1,0,4,48
Super built-up  Area,Ready To Move,Gokula Extension,3 BHK,,1400,3,2,0,154,90
Super built-up  Area,Ready To Move,Neeladri Nagar,10 BHK,,4000,12,,1,200,160
Plot  Area,Ready To Move,Weavers Colony,1 Bedroom,,812,1,1,0,117,26
Super built-up  Area,Ready To Move,Vidyaranyapura,2 BHK,,1100,2,1,0,45,54
Super built-up  Area,19-Aug,Kodathi,2 BHK,,829,2,1,0,86,22.8
Plot  Area,Ready To Move,Vijayanagar,5 Bedroom,,750,4,3,1,93,95
Plot  Area,Ready To Move,Sanjay nagar,4 Bedroom,,2700,4,2,0,23,350
Super built-up  Area,21-May,Kanakpura Road,3 BHK,GolusLi,1500,3,1,0,7,72.99
Built-up  Area,Ready To Move,Ananth Nagar,2 BHK,,850,2,1,0,170,25.99
Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,ApallEn,1180,2,2,0,114,60
Super built-up  Area,19-Dec,Cunningham Road,4 BHK,,5108,5,2,0,48,995
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,2215,4,2,0,120,150
Super built-up  Area,Ready To Move,Channasandra,2 BHK,,1010,2,1,0,16,36
Built-up  Area,Ready To Move,Marathahalli,2 BHK,Cores V,1350,2,2,1,80,60
Built-up  Area,Ready To Move,Talaghattapura,2 BHK,,1100,2,0,0,115,50
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Wiowsri,1450,2,2,0,63,62.93
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1133,2,2,1,143,40
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1564,3,2,0,122,100
Plot  Area,Ready To Move,Doddaballapur,2 Bedroom,,640,1,0,0,36,10.5
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,2072,4,2,0,10,157
Plot  Area,Ready To Move,Rajaji Nagar,2 Bedroom,,432,2,1,1,163,65
Super built-up  Area,Ready To Move,Kanakapura,3 BHK,SPavenc,1460,2,3,1,141,51.1
Super built-up  Area,Ready To Move,A Narayanapura,1 BHK,,600,2,1,0,100,35
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,,1050,2,2,1,157,52.07
Built-up  Area,21-Dec,"Judicial Layout, Kanakapura Road, ",2 BHK,,700,2,1,0,44,35
Plot  Area,Ready To Move,TC Palaya,3 Bedroom,,1200,3,0,0,146,66
Super built-up  Area,Ready To Move,Yelahanka,1 BHK,Prensya,654,1,1,0,197,38
Super built-up  Area,Ready To Move,Ankappa Layout,2 BHK,OadraCh,1105,2,2,0,153,50
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,Goateds,1800,3,3,0,188,150
Plot  Area,Ready To Move,Yelachenahalli,2 Bedroom,,1200,2,2,1,166,160
Super built-up  Area,Ready To Move,Kogilu,1 BHK,,700,1,1,1,161,30.84
Super built-up  Area,Ready To Move,Amruthnagar,2 BHK,Unarlth,1000,2,1,0,22,51
Built-up  Area,Ready To Move,HSR Layout,5 Bedroom,,3500,5,0,1,197,350
Super built-up  Area,18-Apr,Gattahalli,3 BHK,Hameson,1240,2,1,1,109,63
Super built-up  Area,Ready To Move,Bellandur,2 BHK,,1200,2,3,0,41,45
Super built-up  Area,Ready To Move,Yelahanka New Town,3 BHK,KHatsFl,1400,2,2,1,113,80
Super built-up  Area,Ready To Move,HOSUR MAIN ROAD,3 BHK,,1393,3,2,1,75,54
Super built-up  Area,Ready To Move,Whitefield,2 BHK,,1140,2,2,1,181,50
Plot  Area,Ready To Move,Sahakara Nagar,5 Bedroom,,1000,5,,0,182,130
Built-up  Area,Ready To Move,Gulimangala,3 BHK,Daxir E,1640,3,2,1,124,70
Plot  Area,Ready To Move,Kithaganur,2 Bedroom,,1200,2,0,0,31,62
Built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,,720,2,2,1,7,65
Super built-up  Area,Ready To Move,Yelenahalli,3 BHK,,1650,3,3,0,190,68
Super built-up  Area,Ready To Move,Nagavara,4 BHK,K dotna,2496,4,2,1,152,125
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,NaensGa,905,2,1,1,139,32
Super built-up  Area,Ready To Move,HAL 2nd Stage,3 BHK,,1600,3,1,1,27,125
Super built-up  Area,17-Apr,Chikkalasandra,2 BHK,,1070,2,1,1,18,45.48
Plot  Area,Ready To Move,Yemlur,4 Bedroom,Epllan ,8400,5,2,1,153,1675
Built-up  Area,Ready To Move,Koramangala,2 BHK,,1200,2,2,1,170,100
Plot  Area,Ready To Move,Indira Nagar,5 Bedroom,,1800,5,2,0,71,350
Built-up  Area,Ready To Move,8th Phase JP Nagar,4 Bedroom,,2600,4,2,0,118,115
Super built-up  Area,Ready To Move,Old Airport Road,2 BHK,,1145,2,2,1,35,75
Super built-up  Area,Ready To Move,Addischetan Layout,3 BHK,Malyxer,1495,3,2,0,86,55
Plot  Area,Ready To Move,Basavanagara,3 Bedroom,,1200,2,1,1,31,300
Built-up  Area,Ready To Move,Stage-4 Bommanahalli,3 BHK,Pantsce,1400,3,2,0,5,53
Built-up  Area,18-Dec,Whitefield,3 BHK,,1558,3,2,1,150,90
Super built-up  Area,20-Jan,Balagere,2 BHK,Soresea,1007,2,1,0,108,53
Super built-up  Area,Ready To Move,Ananth Nagar,2 BHK,,902,2,1,0,48,25.26
Super built-up  Area,Ready To Move,Kallumantapa,2 BHK,BSarknd,1054,2,1,1,66,53
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1135,2,3,0,153,39.73
Super built-up  Area,Ready To Move,Gollarapalya Hosahalli,2 BHK,Mauner ,996,2,2,0,160,49
Super built-up  Area,18-Aug,Vimanapura,2 BHK,,1275,2,2,0,78,47
Plot  Area,Ready To Move,NRI Layout,2 Bedroom,,1250,2,0,1,104,75
Built-up  Area,Ready To Move,Hennur,4 BHK,,2502,4,2,0,142,170
Super built-up  Area,Ready To Move,Sadaramangala,2 BHK,Maletr ,1394,2,3,0,172,52
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,RInceeg,1243,2,2,1,15,46
Super built-up  Area,18-Dec,Whitefield,2 BHK,Prtates,1216,2,1,1,124,75
Super built-up  Area,Ready To Move,Konena Agrahara,2 BHK,EsadeNS,1075,2,1,0,0,57
Plot  Area,Immediate Possession,Mysore Road,,Naoden ,1200 - 2400,,,0,113,42.3
Built-up  Area,Ready To Move,Indira Nagar,3 BHK,Mo0rh ,1500,3,3,0,22,120
Super built-up  Area,18-Oct,Rayasandra,4 BHK,,1708,3,1,0,107,76
Plot  Area,Ready To Move,Whitefield,3 Bedroom,Adowslm,1500,3,1,1,105,250
Built-up  Area,Ready To Move,Jakkur Plantation,3 BHK,Reicace,1800,4,3,0,20,115
Super built-up  Area,Ready To Move,Harlur,2 BHK,,1532,2,1,0,130,65
Super built-up  Area,18-Sep,Hosa Road,3 BHK,Mahesr ,1726,3,2,0,22,81.99
Super built-up  Area,Ready To Move,Hanumanth Nagar,2 BHK,Saersel,1220,2,2,1,9,54.89
Super built-up  Area,Ready To Move,Chikkalasandra,2 BHK,,1100,2,2,0,25,50
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,Atntspa,1530,3,3,1,110,40
Super built-up  Area,18-Jan,Hosa Road,2 BHK,SRrnauv,840,2,1,0,179,28
Super built-up  Area,18-Apr,Bommanahalli,3 BHK,,1250,4,3,1,97,39
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,,1030,2,,1,7,35
Super built-up  Area,Ready To Move,Raghavendra Layout,3 BHK,Muiseek,1499,3,2,0,6,89
Super built-up  Area,Ready To Move,Varsova Layout,3 BHK,MoaveEn,1280,2,3,1,65,55
Built-up  Area,Ready To Move,Munnekollal,2 BHK,,1170,2,2,0,184,59
Plot  Area,Ready To Move,Chikka Tirupathi,3 Bedroom,,2646,3,,1,81,99
Super built-up  Area,18-Apr,Thirumenahalli,2 BHK,MNtha A,1161,2,3,1,5,36.69
Plot  Area,Ready To Move,Yelahanka,2 Bedroom,,1633,2,1,1,178,72
Built-up  Area,Ready To Move,Richards Town,2 BHK,MaionMa,1050,2,2,1,172,65
Plot  Area,18-Apr,Hennur Road,4 Bedroom,Saandtt,1650,5,3,1,52,309
Super built-up  Area,19-Dec,Varthur Road,1 BHK,Aseenh ,540 - 565,1,0,0,116,13.26
Super built-up  Area,Ready To Move,Attibele,1 BHK,Jae 1hu,418,2,1,0,129,11.5
Super built-up  Area,Ready To Move,Bhattarahalli,2 BHK,,905,2,2,1,130,50
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,DwntsAp,1510,2,2,1,71,55
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,,1390,2,3,1,39,60.47
Super built-up  Area,Ready To Move,Kasturi Nagar,2 BHK,,1101,2,2,0,133,66
Super built-up  Area,Ready To Move,Srirampura,4 BHK,MVmesle,2736,4,,0,32,130
Super built-up  Area,18-Apr,EPIP Zone,3 BHK,BrontLa,2350,4,2,0,89,163
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar 5th Stage,2 BHK,Pridel ,1056,2,2,0,107,55
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,,1425,2,2,0,47,49.88
Super built-up  Area,17-Jun,Electronics City Phase 1,3 BHK,Shitt S,1450,3,1,0,99,70
Built-up  Area,Ready To Move,Pai Layout,2 BHK,Saage V,1000,2,2,1,113,34
Super built-up  Area,18-Mar,Haralur Road,1 BHK,SNnia E,575,1,1,1,93,38
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1350,2,2,1,138,47.24
Plot  Area,Ready To Move,Kanakpura Road,3 Bedroom,,2000,2,0,1,3,180
Built-up  Area,Ready To Move,Raghavendra Layout,3 BHK,Gomeseg,1770,3,2,0,108,90
Super built-up  Area,Ready To Move,Byadarahalli,3 BHK,Prurten,3155,3,2,1,30,315
Plot  Area,Ready To Move,Anandapura,2 Bedroom,,616,3,1,0,198,45
Super built-up  Area,Ready To Move,JP Nagar,1 BHK,Shika A,745,1,0,1,173,34.27
Built-up  Area,Ready To Move,Nayandanahalli,7 Bedroom,,6500,7,1,0,95,104
Plot  Area,Ready To Move,HAL 2nd Stage,4 Bedroom,,2400,4,1,0,195,650
Super built-up  Area,18-Aug,Kudlu Gate,2 BHK,Sanzaat,1547,2,2,1,72,103
Super built-up  Area,Ready To Move,Panathur,3 BHK,Prcesvy,1713,3,1,1,161,120
Plot  Area,Ready To Move,Sarjapur,4 Bedroom,Prldsum,3300,4,2,0,43,430
Plot  Area,Ready To Move,Mahalakshmi Layout,8 Bedroom,,1135,4,1,0,150,190
Super built-up  Area,Ready To Move,1hwanthpur,3 BHK,RNvasth,1856,4,2,1,188,180
Super built-up  Area,Ready To Move,RMV Extension,2 BHK,DSureSi,1152,2,1,1,21,57
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,,1100,2,1,1,18,46.75
Super built-up  Area,Ready To Move,Narayanapura,3 BHK,AriosHe,2357,3,2,0,22,135
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,,1820,4,2,0,64,95
Super built-up  Area,18-Dec,Kannamangala,3 BHK,Sonue A,1865,3,1,0,164,139
Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Prdhue ,1240,2,2,0,195,65
Super built-up  Area,Ready To Move,Padmanabhanagar,3 BHK,Naasyak,1360,3,1,0,48,75
Built-up  Area,Ready To Move,ISRO Layout,4 Bedroom,,4200,4,2,0,78,255
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,Shitt S,1450,2,2,0,69,63.51
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1139,2,2,1,0,72
Super built-up  Area,Ready To Move,Begur Road,3 BHK,,1565,2,2,0,92,56
Plot  Area,Ready To Move,Anjanapura,3 Bedroom,,1200,3,2,0,71,165
Plot  Area,Ready To Move,Kurubarahalli,4 Bedroom,,600,4,0,1,176,77
Super built-up  Area,Ready To Move,Nagappa Reddy Layout,2 BHK,,1200,2,2,1,31,39
Super built-up  Area,Ready To Move,1hwanthpur,3 BHK,Goandn ,1855,3,3,1,180,140
Plot  Area,Ready To Move,Margondanahalli,2 Bedroom,,1100,2,1,1,35,55
Built-up  Area,Ready To Move,Arehalli,3 BHK,,1350,2,2,0,76,65
Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Saciatt,2266,3,2,1,110,207
Super built-up  Area,Ready To Move,Hosur Road,1 BHK,,660,1,1,1,192,23
Built-up  Area,Ready To Move,Kodihalli,2 BHK,,1490,2,1,0,162,150
Super built-up  Area,Ready To Move,Kambipura,3 BHK,Prrtht ,1083,2,1,0,119,48
Super built-up  Area,18-Mar,Hennur Road,2 BHK,Puachal,1232,2,1,0,174,83
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,NaonySy,1550,3,1,1,91,86.8
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Iseenst,1227,2,2,0,50,70
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,,1059,2,2,1,110,68
Built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Assha A,545,1,1,0,4,29
Super built-up  Area,Ready To Move,Mahadevpura,2 BHK,Neisei ,1152,2,1,0,51,54
Super built-up  Area,Ready To Move,Kenchenahalli,2 BHK,AriosPa,870,1,1,1,35,45
Super built-up  Area,17-Dec,Panathur,2 BHK,,1210,2,1,1,67,78
Super built-up  Area,19-Mar,Thanisandra,1 BHK,Bhe 2ko,663,1,0,1,33,46.1
Super built-up  Area,Ready To Move,Hennur Gardens,3 BHK,PlhtsHe,1464,2,1,0,35,135
Built-up  Area,Ready To Move,Kadubeesanahalli,3 BHK,,1365,3,1,1,5,80
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Priew P,1704,3,1,1,58,120
Super built-up  Area,18-Dec,Whitefield,3 BHK,BSlasin,1390 - 1600,,,1,125,60.55
Super built-up  Area,19-Oct,Whitefield,2 BHK,SVacyeg,1256,2,,0,138,73
Built-up  Area,Ready To Move,Kengeri,2 BHK,,883,2,0,0,11,49
Built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1080,2,1,1,184,45
Super built-up  Area,Ready To Move,Marsur,2 BHK,Asara S,497,1,1,0,96,25
Super built-up  Area,21-Sep,9th Phase JP Nagar,2 BHK,Vasisvi,1073,2,1,0,144,52.36
Super built-up  Area,Ready To Move,Rajaji Nagar,6 BHK,,3000,6,3,0,156,250
Super built-up  Area,Ready To Move,Doddabommasandra,2 BHK,Apion M,1300,2,3,0,39,32
Built-up  Area,Ready To Move,Thanisandra,1 BHK,Pronyt ,662,1,0,1,99,45
Super built-up  Area,18-Apr,Kumara Park,2 BHK,,1200,2,2,1,62,75
Built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,,1550,3,3,0,169,75
Super built-up  Area,Ready To Move,7th Block Jayanagar,3 BHK,Jaitira,1707,3,2,0,168,171
Super built-up  Area,Ready To Move,Banashankari,2 BHK,Bregae ,1310,2,2,0,53,80.43
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,,1577,3,2,1,116,65
Super built-up  Area,Ready To Move,Kodigehaali,3 BHK,Shyas S,1324,3,2,1,114,65
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,1786,2,2,0,145,106
Super built-up  Area,Ready To Move,Harlur,2 BHK,Prncyrn,1174,2,1,0,118,75
Super built-up  Area,Ready To Move,Kamala Nagar,1 BHK,,565,1,1,1,147,33
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brnia G,1400,2,1,0,138,95
Built-up  Area,Ready To Move,Electronic City,1 BHK,Palleon,635,1,1,1,33,28
Plot  Area,Ready To Move,Kalyan nagar,6 Bedroom,,3000,8,2,1,71,400
Super built-up  Area,Ready To Move,8th Phase JP Nagar,3 BHK,MBodsen,1368,2,1,1,36,54.71
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1450,3,3,1,78,55
Super built-up  Area,Ready To Move,Devanahalli,2 BHK,,1045,2,2,0,154,48
Super built-up  Area,18-Aug,Electronic City,2 BHK,Prarkun,1128,2,1,0,92,65.4
Built-up  Area,Ready To Move,Bhoganhalli,2 BHK,Tenceen,1125,2,1,0,91,54
Super built-up  Area,18-Jul,Whitefield,2 BHK,Prtates,1195,2,1,0,52,62.38
Plot  Area,Ready To Move,Ramakrishnappa Layout,1 Bedroom,,630,2,1,1,90,70
Plot  Area,Ready To Move,Kaggadasapura,3 Bedroom,,1350,2,0,0,133,105
Super built-up  Area,Ready To Move,Domlur,3 BHK,,1740,3,0,1,117,120
Super built-up  Area,Ready To Move,Bommasandra,2 BHK,Vaodspe,877,2,1,0,86,29
Built-up  Area,Ready To Move,Whitefield,3 BHK,Paony H,1770,4,1,0,140,68
Super built-up  Area,Ready To Move,Yelahanka New Town,1 BHK,,450,1,1,0,106,15
Plot  Area,18-Apr,tc.palya,2 Bedroom,,1000,2,1,0,4,55
Super built-up  Area,Ready To Move,Whitefield,2 BHK,,1300,2,2,0,182,78
Super built-up  Area,Ready To Move,Doddathoguru,3 BHK,,1300,2,1,1,18,42
Super built-up  Area,Ready To Move,Abbigere,2 BHK,SLtias ,985,2,1,0,103,40.39
Built-up  Area,Ready To Move,Chikkathoguru,2 BHK,Srvasi ,1045,2,2,1,47,42
Super built-up  Area,Ready To Move,Chelekare,2 BHK,,1250,2,1,0,116,62.4
Plot  Area,Ready To Move,Bande Nallasandra,3 Bedroom,Ceureld,2400,4,1,0,122,130
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,1194,2,2,1,8,46
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Hahtsya,1420,3,3,1,182,68
Built-up  Area,Ready To Move,Sector 1 HSR Layout,3 BHK,,1720,3,3,0,169,83
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Sovar S,1530,2,2,0,91,74.4
Plot  Area,Ready To Move,Anandapura,3 Bedroom,,1200,2,0,0,168,66
Super built-up  Area,Ready To Move,Whitefield,3 BHK,FoityIn,1570,3,3,1,104,88
Super built-up  Area,18-May,Sarjapur  Road,3 BHK,AsastDe,1157,2,1,0,187,74
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,AsineSu,535,1,1,1,32,20
Super built-up  Area,Ready To Move,Kanakapura,2 BHK,SPavenc,1120,2,2,1,81,39.2
Super built-up  Area,Ready To Move,Kenchenahalli,2 BHK,AriosPa,1150,2,2,1,48,60
Plot  Area,Ready To Move,Hebbal Kempapura,5 Bedroom,,2400,5,2,1,46,200
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,SNity S,1215,2,1,1,137,68
Super built-up  Area,18-Apr,Bhoganhalli,2 BHK,Rosha I,1444,2,1,1,55,75.97
Super built-up  Area,Ready To Move,6th Phase JP Nagar,3 BHK,Solip T,2003,3,3,1,29,200
Carpet  Area,Ready To Move,Thirumenahalli,2 BHK,,1100,2,2,0,61,70
Super built-up  Area,Ready To Move,Kodichikkanahalli,2 BHK,,900,2,1,1,119,42
Super built-up  Area,Ready To Move,Talaghattapura,3 BHK,,1372,2,1,0,118,43.9
Plot  Area,16-Dec,Chikka Tirupathi,4 Bedroom,Theanmp,4500,5,3,0,136,150
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1180,2,1,1,181,55.5
Super built-up  Area,Ready To Move,Electronic City,2 BHK,SraveSL,1096,2,2,1,24,39
Super built-up  Area,Ready To Move,1hwanthpur,3 BHK,IBityin,2504,3,3,1,105,138
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,3 BHK,,1350,2,2,0,63,47.25
Built-up  Area,Ready To Move,Raghuvanahalli,1 BHK,,420,1,1,0,191,23.5
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,SaireSa,1832,3,1,1,93,116
Plot  Area,Ready To Move,Anandapura,6 Bedroom,,1380,7,2,1,18,130
Built-up  Area,Ready To Move,Vasanthapura,2 BHK,,940,2,1,1,81,40
Plot  Area,Ready To Move,Whitefield,4 Bedroom,,4290,5,3,1,3,625
Built-up  Area,18-Aug,Electronic City Phase II,2 BHK,Sryalan,1020,2,1,1,53,29.45
Built-up  Area,Ready To Move,Abbigere,6 Bedroom,,2500,6,0,1,77,81
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,,1400,2,2,0,10,45
Built-up  Area,Ready To Move,HAL Layout,3 BHK,,1675,3,2,1,20,65
Super built-up  Area,Ready To Move,Tumkur Road,2 BHK,,708,2,1,1,68,32
Super built-up  Area,Ready To Move,Channasandra,2 BHK,Unm 2El,1123,2,1,1,107,36
Super built-up  Area,Ready To Move,Talaghattapura,2 BHK,,1100,2,1,1,31,49.49
Super built-up  Area,Ready To Move,Upkar Layout,2 BHK,DSstaen,1225,2,2,1,54,71.05
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1683,3,1,0,6,140
Super built-up  Area,Ready To Move,Kengeri Satellite Town,1 BHK,,410,1,1,1,49,15
Plot  Area,Ready To Move,Banashankari Stage II,3 Bedroom,,2400,2,2,0,126,300
Plot  Area,Ready To Move,Kenchenhalli,4 Bedroom,,1350,4,1,0,48,90
Super built-up  Area,Ready To Move,Gubbalala,2 BHK,MauilTr,1475,2,2,0,176,80
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,ShyamSh,1120,2,2,0,192,49
Super built-up  Area,Ready To Move,KR Puram,2 BHK,Apntsal,1150,2,1,0,25,42
Super built-up  Area,Ready To Move,1hwanthpur,2 BHK,IBityin,1165,2,1,1,92,85
Super built-up  Area,Ready To Move,Harlur,3 BHK,,1756,3,2,1,189,134
Super built-up  Area,Ready To Move,Ambedkar Nagar,2 BHK,SoechHa,1409,2,2,0,170,95
Super built-up  Area,Ready To Move,Mahadevpura,2 BHK,Neisei ,1212,2,1,0,74,56.9
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,VBpleMa,1140,2,2,1,200,26.49
Super built-up  Area,19-Sep,Hegde Nagar,3 BHK,SoisoCa,2087.01,3,2,1,100,115
Super built-up  Area,Ready To Move,Jalahalli East,1 BHK,ShshaSa,750 - 800,1,0,1,34,34.1
Super built-up  Area,18-Apr,Sarjapur  Road,3 BHK,PualeSk,1700,3,1,0,126,118
Super built-up  Area,Ready To Move,Carmelaram,3 BHK,DSensn ,1660 - 1805,3,0,0,183,91.855
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,,1110,2,1,0,141,52
Built-up  Area,18-Aug,Electronic City Phase II,2 BHK,Sryalan,1000,2,1,0,193,28.88
Plot  Area,Ready To Move,Marathahalli,7 Bedroom,,1550,7,3,1,163,160
Built-up  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,Theanmp,2704,5,0,0,142,105
Plot  Area,Ready To Move,Vidya Nagar,2 Bedroom,,3760,2,0,1,19,280
Plot  Area,Ready To Move,Hormavu,5 Bedroom,,1600,5,2,0,124,140
Super built-up  Area,19-Dec,Bhoganhalli,2 BHK,Rosha I,1205,2,2,0,15,64.47
